DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,JESS KING,STRENGTH,Thu 6/3/21 @ 12:15 AM,99.3,25067,6.4,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms & Light Weights,10,JESS KING,STRENGTH,Mon 4/19/21 @ 2:15 AM,99,25287,7.2,Grab your free weights from the back of the Bike and work your arms! Pair this with a cycling class for the perfect stack.,False,['Light Weights']
NO_DIFFICULTY_TAG,15 min Pilates,15,JESS KING,STRENGTH,Tue 4/6/21 @ 9:00 PM,97.6,14607,5.3,"This 15 minute mat Pilates class increases core strength, flexibility and body awareness. Build upon core principles and signature exercises that will leave you feeling aligned and energized.",False,['Workout Mat']
INTERMEDIATE,20 min Pilates,20,JESS KING,STRENGTH,Tue 4/6/21 @ 9:00 PM,97.2,13672,5.7,"This 20 minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with the introduction of longer Pilates flows, progressions, and challenging choreography.",False,['Workout Mat']
BEGINNER,30 min Pilates,30,JESS KING,STRENGTH,Tue 4/6/21 @ 9:00 PM,99.1,9657,5.3,"This 30 minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",False,['Workout Mat']
INTERMEDIATE,45 min Pilates,45,JESS KING,STRENGTH,Tue 4/6/21 @ 9:00 PM,97.4,4254,6.4,"This 45 minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with longer Pilates flows, progressions, and challenging choreography.",False,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Sat 1/9/21 @ 9:15 AM,98.3,30844,6.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Wed 9/16/20 @ 9:00 PM,99.4,31365,6.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Sun 5/31/20 @ 10:00 PM,97.4,44309,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Thu 12/12/19 @ 4:15 AM,99.1,56044,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
INTERMEDIATE,20 min Full Body Strength,20,JESS KING,STRENGTH,Thu 12/5/19 @ 4:05 AM,97.7,3866,6.6,Join us for a high-energy full body strength training workout.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Glutes & Legs Strength,10,JESS KING,STRENGTH,Thu 10/17/19 @ 3:15 AM,96.5,4560,6.7,Join us for a glutes and legs workout to tone and strengthen the biggest muscles in your body.,False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Core Strength,10,JESS KING,STRENGTH,Thu 10/17/19 @ 3:00 AM,97.4,9490,6.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Thu 9/26/19 @ 4:50 AM,99.6,24430,7.5,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Bodyweight Strength,10,JESS KING,STRENGTH,Thu 9/12/19 @ 3:05 AM,99.3,4605,6.4,Join us for a high-energy bodyweight training workout. You won¡¯t need weights for this class!,False,['Workout Mat']
NO_DIFFICULTY_TAG,5 min Core Strength,5,JESS KING,STRENGTH,Thu 9/12/19 @ 2:55 AM,95.7,7916,5.7,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",False,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Tue 8/13/19 @ 5:05 AM,99.3,11407,7.2,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,20 min Chest & Back Strength,20,JESS KING,STRENGTH,Wed 7/3/19 @ 3:10 AM,98.7,1833,6.9,Grab your weights and join us for 20 minutes of chest and back work to tone and strengthen your upper body.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,20 min Glutes & Legs Strength,20,JESS KING,STRENGTH,Wed 7/3/19 @ 2:35 AM,98.5,1924,6.8,Join us for 10 minutes of glutes and legs work to tone and strengthen the biggest muscles in your body.,False,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Tue 7/2/19 @ 5:05 AM,99.6,10980,7.0,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Tue 6/4/19 @ 5:05 AM,99.4,6384,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,JESS KING,STRENGTH,Tue 5/21/19 @ 5:05 AM,95.4,4281,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,False,['Light Weights']
