DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,5 min Full Body Strength Warm Up,5,RAD LOPEZ,STRENGTH,Mon 11/1/21 @ 10:00 PM,99.6,1339,4.2,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Upper Body Strength Warm Up,10,RAD LOPEZ,STRENGTH,Mon 11/1/21 @ 10:00 PM,99.3,431,5.4,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,"['Light Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Full Body Strength Warm Up,10,RAD LOPEZ,STRENGTH,Mon 11/1/21 @ 10:00 PM,99.5,395,5.2,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,[]
INTERMEDIATE,30 min Full Body Strength,30,RAD LOPEZ,STRENGTH,Sun 10/31/21 @ 9:00 PM,99.4,1834,7.6,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,RAD LOPEZ,STRENGTH,Sat 10/30/21 @ 11:10 PM,98.7,2099,7.2,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,RAD LOPEZ,STRENGTH,Sat 10/30/21 @ 10:30 PM,98.8,3651,7.3,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,RAD LOPEZ,STRENGTH,Thu 10/28/21 @ 10:00 PM,98.8,1200,7.3,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",TRUE,['Workout Mat']
INTERMEDIATE,30 min Full Body Strength,30,RAD LOPEZ,STRENGTH,Wed 10/27/21 @ 8:30 PM,99.1,2331,7.6,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,RAD LOPEZ,STRENGTH,Tue 10/26/21 @ 2:10 AM,96.4,7112,5.9,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Chest & Back Strength,20,RAD LOPEZ,STRENGTH,Tue 10/26/21 @ 1:30 AM,97.2,2316,7.2,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Medium Weights', 'Workout Mat']"
