DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,10 min Chest & Back Strength,10,CHASE TUCKER,STRENGTH,Tue 11/2/21 @ 8:30 PM,99.4,718,6.8,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,10 min Bodyweight Strength,10,CHASE TUCKER,STRENGTH,Mon 11/1/21 @ 10:00 PM,99.2,981,6.1,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,10 min Chest & Back Strength,10,CHASE TUCKER,STRENGTH,Tue 10/26/21 @ 8:30 PM,98.1,3112,7.1,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,CHASE TUCKER,STRENGTH,Mon 10/25/21 @ 10:00 PM,100,20,6.5,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,10 min Chest & Back Strength,10,CHASE TUCKER,STRENGTH,Tue 10/19/21 @ 9:20 PM,99.5,3773,6.8,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,CHASE TUCKER,STRENGTH,Tue 10/19/21 @ 8:30 PM,98,2884,7.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,CHASE TUCKER,STRENGTH,Mon 10/18/21 @ 10:00 PM,97.6,2379,7.6,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,CHASE TUCKER,STRENGTH,Wed 10/6/21 @ 10:40 PM,96.7,2602,6.5,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
INTERMEDIATE,20 min LHM Upper Body Strength,20,CHASE TUCKER,STRENGTH,Wed 10/6/21 @ 10:00 PM,98.5,2585,6.9,Celebrate Latinx Heritage Month in this 20 min upper body strength.,FALSE,"['Medium Weights', 'Workout Mat']"
ADVANCED,10 min Arms & Shoulders Strength,10,CHASE TUCKER,STRENGTH,Tue 10/5/21 @ 9:20 PM,99.5,6484,8.1,Grab your weights and join us for an upper-body workout focused on strengthening your arms and shoulders.,FALSE,"['Heavy Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Bodyweight Strength Warm Up,5,CHASE TUCKER,STRENGTH,Mon 10/4/21 @ 10:00 PM,98.1,2417,3.5,"You can do anything for 5 minutes. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Full Body Strength Warm Up,10,CHASE TUCKER,STRENGTH,Mon 10/4/21 @ 10:00 PM,98.6,1781,4.2,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,[]
NO_DIFFICULTY_TAG,10 min Full Body Strength Warm Up,10,CHASE TUCKER,STRENGTH,Mon 10/4/21 @ 10:00 PM,98.4,964,4.3,"The next 10 minutes will fly by. Our strength warm ups are designed to elevate your heart rate, increase blood flow and get your body ready for your workout through mobility training and breathing exercises.",FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,CHASE TUCKER,STRENGTH,Thu 9/30/21 @ 12:40 AM,97.6,2165,7.2,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,CHASE TUCKER,STRENGTH,Thu 9/30/21 @ 12:00 AM,98.8,3341,7.3,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,30 min Chest & Back Strength,30,CHASE TUCKER,STRENGTH,Thu 9/23/21 @ 12:00 AM,98.2,4470,7.4,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Heavy Weights', 'Light Weights']"
INTERMEDIATE,10 min Core Strength,10,CHASE TUCKER,STRENGTH,Tue 9/21/21 @ 10:00 PM,99,8696,6.5,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,"['Heavy Weights', 'Workout Mat']"
INTERMEDIATE,20 min Chest & Back Strength,20,CHASE TUCKER,STRENGTH,Thu 9/16/21 @ 12:40 AM,96.5,9792,6.5,Grab your weights and join us for an upper-body workout focused on strengthening your chest and back.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Glutes & Legs Strength,20,CHASE TUCKER,STRENGTH,Thu 9/16/21 @ 12:00 AM,99,5909,7,Strengthen the largest muscles in your body with this glutes & legs workout.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,10 min Core Strength,10,CHASE TUCKER,STRENGTH,Thu 9/9/21 @ 12:45 AM,97.8,8455,6.5,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,CHASE TUCKER,STRENGTH,Thu 9/9/21 @ 12:00 AM,96.8,3914,7.5,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Upper Body Strength,20,CHASE TUCKER,STRENGTH,Thu 9/2/21 @ 12:00 AM,97.2,6619,7.4,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Full Body Strength,30,CHASE TUCKER,STRENGTH,Tue 8/31/21 @ 10:00 PM,98.5,3639,7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,TRUE,"['Medium Weights', 'Workout Mat']"
